Year,State,County,HAI,Facility_ID,Facility_Name,Facility_Type,Infections_Reported,Patient_Days,Rate,Rate_CI_95_Lower_Limit,Rate_CI_95_Upper_Limit,Comparison,Months,Rate_2015,Notes
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,655,15872140,0.41,0.38,0.45,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Community Hospitals,205,6694501,0.31,0.27,0.35,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,"STATE OF CALIFORNIA POOLED DATA - Community, <125 Beds",25,1250333,0.2,0.13,0.29,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,"STATE OF CALIFORNIA POOLED DATA - Community, 125-250 Beds",104,2448273,0.42,0.35,0.51,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,"STATE OF CALIFORNIA POOLED DATA - Community, >250 Beds",76,2995895,0.25,0.2,0.32,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Major Teaching Acute Care Hospitals,447,8608152,0.52,0.47,0.57,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Pediatric Acute Care Hospitals,3,569487,0.05,0.01,0.14,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,79,435644,1.81,1.45,2.25,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,112490,0,0,0.27,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,529564,0,0,0.06,,,,
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Free-Standing Rehabilitation,0,175045,0,0,0.17,,,,
